sentence	label
i’m 21 and my dad was diagnosed with alzheimer’s when i was 17/18. i lived with only him from ages 14-18 and feel i missed out on many of those years and potential experiences due to worrying about/caring for my father. i had decided not to go away to college because he would say things like “you’re the only reason i’m here” all the time and ask if i was going to stay with him. i’m having a really hard time knowing what to do right now because i want to go back to a new school across the country next spring. i feel like i’ve made so many decisions based on everyone else’s happiness instead of my own, it feels like it’s been such a battle to survive most of my life, and i’ve finally been figuring things out for myself and feeling better. some things are going on right now with his potential guardianship which has been extremely difficult and is taking me back to those years when i was 14-18, feeling so stuck and helpless. it makes me feel terrible because obviously i want to do everything i can for my father, but i need to think about me. i want to have him in my life and have a good relationship, i want to be able to know what’s going on with him and help to make decisions. i guess i’m wondering people’s thoughts on that, whether you’re my age or someone older. am i being a bad person for wanting to go to school somewhere else? also if anyone has advice about experiencing a parent having alzheimer’s at a young age, or any life advice for someone in their 20s, i would greatly appreciate it. i think if my dad wasn’t sick he would be proud of me and excited for me. he always wanted to make sure i had the ability to do what i wanted with school and careers and express my talents. thinking about that makes me smile but it hurts. - my parents are divorced, my mother greatly cares for my father and they have lunch once a week imo, go. alzheimer's is already stealing what is left of his life. that being said, i'm a 45 year old man, missing out on many things, including things with my own child, to continue caring for my mom who is on hospice and could remain so for god knows how long. it sounds like you have already put your father before yourself. i think you should focus on yourself for a bit. ended up not going to go stay with my mom and try to care for her (no official diagnosis at this point but she was not able to hold a job and had very clear signs. we knew it was alzheimer’s)  you should go to school. my dad has it too. my mom thinks that he's had it for a while, but his symptoms started getting worse when i was 14ish. i'm in my 20s now and i'm in a similar situation to you. do what's best for you. i am glad i lived my life and if i had stayed 24-7 to care for my parent, i would be bitter considering it's a likely possibility for me. i echo every one else here - go and live your life to the fullest you can. i'm hopeful it will be what your father would wish for you. i'm 39 and cared for my dad for about 10 years - we tried to keep him at home for as long as we could but it came to the point that it was no longer safe or dignified for him to remain there. the respite provided to me since he has been in a care home has been significant - i feel like i can live my life again and do things i've been unable to for the past 10 or so years - and it feels good. you deserve to live your life now! you only get one life, you don't owe it to anyone but yourself. please let your parents make their own decisions for their own lives. alzheimer’s destroys everything. but alzheimer’s destroys everything and that will still be true even if you stay. good luck with your decision. live your life. sometimes the kinds of sacrifices that you would need to make can leave you feeling bitter and resentful for many years to come. i don't think your dad would want that for you. don’t do what i did and be afraid to live your life. that being said, you aren't just losing your father to this disease. and what ever you end up choosing, do right by yourself first. you can't 'do right by him' if you are burned out. your health, mental and physical, comes first. don't break your back.	0
would like to hear about everyone's experiences good or bad with small residential assisted living or adult foster care based in a private house. better or worst than long term facilities? do smaller homes have better staff to resident ratio? if you have worked in or own one i would love to hear from you. would love details about your facility and why it's better in your opinion. i have not used either of these, but there was a period where i was looking into them as an option (mom decided to keep dad at home in the end). im not sure but i *think* a major deciding factor would be more about what kind of care the facility is qualified to give, and what kind you need. like some facilities have staff that are allowed to administer medicine, and some may not have staff thats allowed to (patient has to give medicine to themselves). some facilities aren't allowed to keep someone from wandering out, and some have a special status where they can. you might want to see if your state and county have a dept on aging or elderly or dementia. they may have guides describing rules that may be specific for your state or maybe even a handy list of facilities identified by type of care. depending on the level of care, you could eliminate your options quickly.	0
title is pretty self explanatory, it could be for android or ios, the more suggestions the better, and thank you in advance. if you use it and could describe why and how it helps you, that would also be much appreciated. what are the features you like and what features did you wish it had? i use an ios app called memory lane with a patient when i need a distraction. it is a very simple trivia game filled with photos and nostalgia. it was designed specifically for alzheimers patients. and it is free with no adds or upgrades/offers! [memory lane](  i wish there were more apps/games for entertainment purposes. i also had to use an app to create picture button icons on a smart phone that can be used to call loved ones. whoever is caregiving for someone with alzheimer's, try joining support group. i was in a few. some better than others. there is an app called alz science hub. it’s mostly focused on research, but also has good information about resources for help.	1
my father (68) has alzheimers and up until recently was being cared for exclusively by my grandmother (87). over the past year, my father's condition has progressively gotten worse and he's started showing signs of anger, anxiety, and aggression. anti-anxiety meds helped some, but it still got to a point where it was no longer safe for either of them to be in that house together and we made the decision to move him into memory care. unfortunately, the transition to memory care did not go well. within 4 days of moving him in he had assaulted another resident, cornered and threatened a staff member, and refused to eat or take his medications, until the facility finally asked for him to be transferred to a hospital because they couldn't handle him. fast forward 6 weeks and in that time, he's been in 3 different hospitals and 2 different geriatric psychiatric facilities. he was transferred back to memory care after the first psychiatric stay when they thought they had figured out his medication, but after 4 days he had assaulted another resident, was tearing pictures off the wall and throwing them, and had defecated on the floor of another resident's room. he's currently on his second geriatric psychiatric stay as they once again try to tweak his meds but i' m not hopeful. we are one week into what is supposed to be a 1-2 week stay so he's going to be discharged soon. the memory care facility he was originally in won't take him back and so far we haven't found any others that will take him. i don't see how he could come home, even with in-home nursing help. i just can't see how it would be safe for anyone. i've checked into some nursing homes but supposedly they are going to cost between 10-15k per month and that's not something we can afford. i don't believe he will qualify for medicaid as he has a pension that would put him over the eligibility requirements. making all this worse is i live on the west coast and am having to manage all of this remotely. this last 2 months have been so draining and we seem to be out of options. what are we supposed to do? i'm posting in hopes that someone maybe has a solution or something i haven't thought of but it all seems so hopeless. with my mom, we had to private pay until she was bankrupt. in her case, the only med that worked to ease her rage (she broke her own and other people's bones in attacks) was injections of haldol. because they had to be injections, we had to have 24-hour skilled nursing, and the doctors reported that it was a must to keep her from being a danger to herself and others. once she was bankrupt, the way medicaid worked was they took her pension and ss and returned it was i think $70 per month for her to have personal spending money. if you haven't talked to someone in medicaid locally, it helps to at least have the conversation with them to see what happens next. i'm really sorry you're going through this, op. i was in the same hopeless boat back in october of last year. my dad has increasingly gotten aggressive. because of covid, no geriatric psych places would even consider taking him in. his doctor at memory care was having no luck tweaking his medications. his facility was kicking him out and we couldn't find a single place within the state that would consider taking a man with 'behaviors'. we began looking out of state. i also asked about hospice and they agreed to have him evaluated. hospice believed my dad was probably suffering from terminal agitation and we signed him on to hospice. they gave him dilaudid but it didn't slow him down one bit. one of my nurse friends (seeing how hopeless the situation was) recommended i ask hospice about contacting aps. they did and got some social workers involved to help us out in finding a new facility. in the meantime, we had to hire 24/7 caregivers to live with him in memory care. somehow we found a facility nearby that would give him a chance as they typically handle people with 'behaviors'. we moved my dad to the new place (having hospice on-board was nice because they provided  a hospital bed). i'm just sharing my experience. reaching out to aps can be scary but we got desperate. nobody would take my dad and i knew if he got discharged anywhere, that his current memory care would not allow him back in. i feel like i truly tried everything. sadly there just aren't many resources for when your loved one gets aggressive/violent. and no, you cannot take him back in to the home with your grandmother. i'm so so sorry. i was in your position only 5 months ago. i'll be thinking about you. what i did was enlisted my friends' help in asking them to make calls to facilities for me. having someone else make those calls and keep a shared spreadsheet was probably the most helpful. i hope you have friends you can call on. such a heartbreaking disease.. so sorry.. you should try posting this question on the forum at agingcare.com the people over there tend to give better advice about these kinds of situations and are more realistic. this is a long shot, but i was just getting a massage today and in the waiting room, i read something in a 'massage therapy' magazine about alzheimer's and massage. as little as 5 or 10 minutes of gentle massage, head, shoulders, neck, back or hands, reduced agitation and aggression in alzheimer's patients. it can be done by a cna, it doesn't have to be a licensed massage therapist. see if you can get his carers in the hospital to try that every day for a week. i'd also want to know if it happens only in the latter half of the day (sundowning) or if he has a uti. music might be useful. i was able to take care of my spouse who got alzheimer's in 2012. when the violence started the doctor perscribed risperidone .25 mg 3x a day. it was an amazing transformation and helped me be able to do everything at home until passing in 2020.   i got hospice involved in the last year and a half or so, which set us up with a hoyer lift, hospital bed,  and nursing care 3x a week all covered thru insurance and medicare, when walking no longer was an option. when covid started i voluntered to do bedbaths and the nursing was reduced to 1x a week to avoid unneeded traffic and risk of covid. this was during the time when it was so horrible in the nursing homes, before vaccines. i am grateful for the extra time i had, grateful that i didn't need to rely on any of the kids who all had jobs and families, grateful that i didn't need to bankrupt us or move out of this house we have lived together in for 35 years, grateful we never got covid. i miss my spouse so very much. hope this helps and god bless. i'm sorry i don't have a good or cheap suggestion, as we went through it with my mil when she was fist admitted to a mental care facility. we were finally able to get he placed into a facility which was able to manage her, both through medication, and through having 'large' skilled nurses and aides who could control her outbursts. once a lifetime of savings, the home, everything was gone, medicare stepped in and took over. facility received every dime, social security, navy (spouse retirement) pension, everything except a few hundred bucks a month we were able to use for upgrades in food, cable tv, and a room with a view of the plants/garden outside. what breaks my hear more than anything is i'm on the front edge of this journey with my wife, who was diagnosed with early onset, and is now 67.  i'm not emotionally ready to have to watch the love of my life disappear from me in slow motion while i remain helpless and heartbroken and incapable of making anything better for her. please speak with the hospital social worker (or have his poa do so). the reality is that dad is likely going to need further adjustments of his medications & an onslaught of behavioural approaches to try & find the balance whereby he's not a danger to himself or others. what i know to be true in my province is that a hospital cannot discharge someone who needs constant care if a sufficient solution is not available. is the hospital the right place for him, long term? probably not but until his situation stabilizes, and a home is found, then i would not be accepting responsibility for him to come home. it's an impossible position to be put in, & the system is so very broken & i'm so sorry that your family is having to wade through this walking nightmare. talk to the social worker & reach out to the local alzheimer's society/ society for the aged & ask them for advice as well. sending you such support over the interwebs. xo there’s an anti-psychotic medication that my fil takes that really helped his aggression. if you want to know the name, dm me, i would have to ask the wife. regarding ~~medicare~~ medicaid you should talk to an elder care lawyer. typically, if a person qualifies for  ~~medicare~~ medicaid funded care they pay all their assets first, minus a very small amount, and ~~medicare~~ medicaid covers the rest. this varies from state to state so be sure to find a lawyer in their area. good luck	0
if the loss of sense of smell associated with alzheimer’s would be studied towards restoring it first would memory return? does the pineal gland hold the answer? you're not likely to have heard about studies where things like this were researched and found not to be helpful. i’m a research patient. but wouldn’t do the loss smell thing because i smoke. how far outside the box?	0
my grandma is far down the rabbit hole and diagnosed with alzheimers or dementia. we are moving her to a care home tomorrow but one of her recurring issues is obsessively counting money. in her own home we just had her constantly pay us money, put it in a cabinet and then give it back to her each visit. now that she's going to a home with outside people, we don't want her having real money just in case. the bank of canada has a fake money printout for children but she can tell the texture difference between our plastic bills and complains.	0
my mom is well into the later stages of alzheimer's and can no longer do  any self care. her restlessness and excitability is really  tiring, so we requested a medication to ease her anxiety. to my surprise  an anti-psychotic ( aripiprazole ) was prescribed, and while she does  tell imaginary stories i do not see how this drug will address her fear  and anxiety. anyone got any experience with the effect of this meds with  alz patients, and any relevant advice? i thought something like  lorazepam would be prescribed. i do not have any experience with aripropazol in dementia patients. i will say that after my grandmother (probable alzheimer’s) started taking seroquel, her mood improved dramatically. i have a family member who is a neurologist who has also seen seroquel help quite many dementia patients. i bet many other people here can attest to seroquel’s impact as well. my understanding is that if the dementia is alzheimer’s it will have the intended mellowing effect, however if it is a different type (ftd or lb, don’t remember) it will immediately make the mood worse. my grandmother was also prescribed lorazepam while she was in hospice, but she was one of those minority of people for whom it did not have the intended effect. although it made her sleepy, she became extremely paranoid with the delusion that we had kidnapped her and were holding her hostage. my mil (moderate stages) takes hydroxyzine twice a day and it works well. she takes 10 mg in the day time, and 25 at night. it has certainly worked well  to keep her anxiety and temper tantrums at bay. since she has high blood pressure and takes meds for that, i doubt she'd ever be on seroquel.	0
anyone else experiencing their alzheimers loved one clicking when he/she can't remember how to say a sentence? earlier dad wanted to ask me if it would bother me if he turned on the tv but i guess he couldn't find the words. so he just walked over to the tv, pointed at it, and started making clicking noises at me like it was a recognized language. reminded me of that 80's old movie with the coke bottle. my dad went through a clicking phase and even a barking phase. hth mine says 5,5,5, a lot. it's getting to be a challenge. not so far. thank you all for sharing. no i understand better how this may progress.	0
okay, so my dad was diagnosed with dementia a few years ago. because i gave birth to a child and didn't live super close to my parents i was never able to attend many of his doctor appointments. now i have moved closer and my child is older, so i'm paying closer attention to his health and helping out my mom. one thing that was never made clear to me is what type of dementia he had. so at his last appointment with his neurologist, i asked her what type of dementia is he diagnosed with. and she said, based on his scans it's either alzheimer's or vascular dementia. so is that a thing? i guess i was looking for something definitive. not: maybe this, maybe that. i guess from her perspective it's all under the same umbrella, but from my prospective i'm just confused. yes, it's a thing. my mom also has vascular dementia and alzheimers. remember, alzheimers is a form of dementia so you're right, it's all under the same umbrella. i wish you all the best! eta: there is no definitive way to diagnose alzheimers while the patient is alive, it's only when they die that they can say (via autopsy) that it was alzheimers. another common cause is vascular dementia. a person can also have both. as others have said, alzheimer's can't be diagnosed with 100% certainty until an autopsy. i've read that alzheimer's presents as a slow progression whereas vascular dementia will process periodically with sudden changes. a uti will also appear as a sudden change, but treating the uti will help improve the sudden problem. my grandmother has vascular dementia and dementia. although i did assume they are the same and it's not? interestingly enough, not diagnosed with alzheimers. we went to different doctors and honestly, none were much help. my grandmother is on medication, it's really not improving her symptoms. i think going to get a second opinion will help in the sense of getting the right mix of medications if you don't think the dr. is doing what he can. my so has a dementia, undefined diagnosis at this point. but without an effective treatments or accurate tests, i am not pushing for further diagnostic testing. we are four years into the dementia, i am focused on positive support, seeing that she gets good food, plenty of rest and limit her over stimulation. i give her opportunity to be functional, but step in when she get confused. had a similar chat with my mom’s doc when she was diagnosed. he told me that the only true way to tell if it’s alzheimer’s is to do an autopsy after she passes away. until then, they use standardized testing. i read somewhere that mri scans show shrinking of the brain with alzheimer’s, more so than regular senile degeneration. while i’m assuming vascular dementia shows less blood flow>>>less circulation from kidney disease or diabetes>>>cognitive functional decline	0
cleaning grandmas bedroom today. i wanted to change her bed clothes. when they did arise at 4pm, i was told i should’ve been louder :) stealth vacuuming, eh?	0
