sentence	label
a bit of a rant call . my relationship with my mum is not a mother son one but me as an adult helping care for a manipulative self centred woman	0
activities for someone with early alzheimer's 's runs in her family. she is still relatively with it, as she recognizes most people and can talk about her	0
advice for newly diagnosed. d give to someone whos parents or loved one has been recently diagnosed? this isnt necessarily advice but id recommend writing down or video recording	0
advice for taking and putting grandma into a residence my grandma to a care home residence tomorrow. what are some suggestions you can offer me to make the transition easier for her and my grandfather? we are afraid she'll realize we are leaving her there since she has some lucid moments when she gets a grasp about what's	0
advice on watches to track loved ones? a fitbit just in case. he currently wears a fitbit daily and charges it nightly. i am	0
am i the bad guy for my decision/thinking? my mum and her siblings. my mum is	0
anyone encountered rs63750110 (a,c) mutation? their grandpar	0
anyone ever accidentally go to the r/alzheimersgroup instead of this one? or have	0
anyone just want to help out again? how to change the chanel and get help. i miss	0
at what point should you hire a caretaker/move them to memory care? home she doesn't know where she is. she has a history of depression and mood swings and currently takes seroquel and aricept. lately she has been very unpredictable and upsets very easily, often walking out on her own out of anger (my grandfather follows her). she constantly threatens to take off and find a job for herself	0
bad weekend to bed. her feet swell and if i put the foot rest up, she tends	0
beware of hidden upgrades that cost big care for in their home and i try to support them both. my stepfather called me upset that their cable bill was $60 more than normal. when he called, he was told they upgrade plans. he argued with them and they took off	0
caregiver burnout hospitals. i used up all my leave to take him to the medical services. i sold my beloved car and bought a more comfortable van. i researched cancer and fill out forms. i take care	0
christmas there is one issue. my grandpa. for a few years now my grandpa has been suffering from alzheimer's. he has	0
coming up for (dementia) air...	0
dad has nuerology appointment tomorrow my dads diagnosis my normally stable step-mom had a	0
dad with alz is getting increasingly psychotic .his symptoms have been getting steadily	0
dementia caregiver study (adult caregivers of parents with dementia) their siblings. i am	0
difficult start to the holiday have a diagnosis but she's	0
dogs barking at people with alzheimers? there's something else she's picking up on. i have a pit-boxer mix and am	0
doing better with mom ds. she was on lyrica for diabe	0
experience with depakote	0
facing the possibility of my dad having alzheimers the early stages of alzheimers. this isn	0
father starting to exhibit signs of dementia/alzheimers post-chemotherapy treatment... years old and just successfully finished chemotherapy for throat cancer and was officially declared cancer free. due to other health difficulties (balance issues, anxiety, etc.), he's been in a rehab facility for the better part of the last year. we've noticed of late that he's also concurrently	0
father's alzheimers weighing down on my mother and family his wife	0
finding a doctor for my grandma even know what exactly or roughly what i'm dealing with. this is	0
first holidays without mom big relief for me. as her main caregiver, i was the main recipient of her paranoia, delusions, and	0
for those going through alzheimers their	0
gently correct my grandma or allow her to believe what she wishes? ? should i correct her? she never says she doesn't remember things, she just says things that are untrue with regards	0
gift ideas for person with late stage alzheimers and history of strokes the hospital (possibly due to psych meds, but thats another story). shes now on hosp	0
grandfather with alzheimers keeps overfeeding dog - what to do? his dog to an alarming degree. the dog, princess, is quite old and already very overweight. one single bag of treats is supposed to last at least a month and a half. last week, he fed her two entire bags. my grandmother has tried telling him that he can't do that, but he's just not understanding (which, of course, is	0
grandma and the rise of technology. my grandma has a basic apartment to herself as she is still able to manage herself to a degree. her memory	0
handling a big move -- venting, worrying what i would need to do next. i know this is probably an old story. everyone's alzheimer's journey is different, they tell me, but the broad strokes are much the same. and i know in my head what i'm doing is right for her. but she also makes me doubt it. i'm a pretty empathetic person, but i have	0
hello! need your opinion! any complicated movements needed. we plan to adapt it for people with	0
help with grandmas pills nothing else i felt before, but my main concern right now is that i cant make her to take her pills. i think maybe she doesnt trust me since i am	0
how to get a diagnosis when they are dead set that nothing is wrong. the hospital for 2 months about 3 months ago. my dad has later stage	0
how to keep my mom's money safe from her it somewhere, which she won't tell me where because she is starting to not trust anyone. so it's time to make her accounts inaccessible, i just don't know how to do it and still have her ss and pension checks go into them. how did you guys do it? i am	0
